A (diketone),B (diketone),A(L1),A(B1),A(B5),B(L1),B(B1),B(B5),eps,temp,yield,yield
190.6,185.3,6.37,1.7,3.15,5.51,1.66,7.63,10.125,-78,0,0
185.3,190.6,5.51,1.66,7.63,6.37,1.7,3.15,9.015,25,47.3,7.7
185.3,190.6,5.51,1.66,7.63,6.37,1.7,3.15,7.4257,25,32.01,0.99
185.3,190.6,5.51,1.66,7.63,6.37,1.7,3.15,35.688,25,46.4,11.6
185.3,190.6,5.51,1.66,7.63,6.37,1.7,3.15,4.7113,25,43.71,3.29
185.3,190.6,5.51,1.66,7.63,6.37,1.7,3.15,10.125,25,55.51,5.49
185.3,190.6,5.51,1.66,7.63,6.37,1.7,3.15,2.37,25,31.36,0.64
185.3,190.6,5.51,1.66,7.63,6.37,1.7,3.15,7.4883,25,56.12,4.88
185.3,190.6,5.51,1.66,7.63,6.37,1.7,3.15,9.8037,25,56.12,4.88
185.3,190.6,5.51,1.66,7.63,6.37,1.7,3.15,46.826,25,3,0
185.3,190.6,5.51,1.66,7.63,6.37,1.7,3.15,8.93,-30,29.14,1.86
185.3,190.6,5.51,1.66,7.63,6.37,1.7,3.15,2.37,25,31.36,0.64
185.3,190.6,5.51,1.66,7.63,6.37,1.7,3.15,10.125,-78,0,0
191,185.9,6.37,1.7,3.15,5.52,1.7,6.62,8.93,0,1.14,36.86
191,185.9,6.37,1.7,3.15,5.52,1.7,6.62,8.93,12.5,6.6,53.4
191,185.9,6.37,1.7,3.15,5.52,1.7,6.62,8.93,40,6.05,48.95
191,185.9,6.37,1.7,3.15,5.52,1.7,6.62,7.4257,25,0,27
191,185.9,6.37,1.7,3.15,5.52,1.7,6.62,35.688,25,5.31,53.69
185.9,191,5.52,1.7,6.62,6.37,1.7,3.15,8.93,0,36.86,1.14
185.9,191,5.52,1.7,6.62,6.37,1.7,3.15,8.93,12.5,53.4,6.6
185.9,191,5.52,1.7,6.62,6.37,1.7,3.15,8.93,40,48.95,6.05
185.9,191,5.52,1.7,6.62,6.37,1.7,3.15,7.4257,25,27,0
185.9,191,5.52,1.7,6.62,6.37,1.7,3.15,35.688,25,53.69,5.31
189.8,185.2,6.37,1.7,3.15,5.52,1.7,6.62,8.93,25,4.72,54.28
185.2,189.8,5.52,1.7,6.62,6.37,1.7,3.15,8.93,25,54.28,4.72
190.9,186.3,6.37,1.7,3.15,6.39,0.93,6.63,8.93,25,4.16,47.84
186.3,190.9,6.39,0.93,6.63,6.37,1.7,3.15,8.93,25,47.84,4.16
191.19,183.4,8.48,1.78,3.16,5.51,1.66,7.63,8.93,25,10.35,58.65
183.4,191.19,5.51,1.66,7.63,8.48,1.78,3.16,8.93,25,58.65,10.35
191.92,188.92,6.36,1.76,4.39,5.51,1.66,7.63,8.93,25,3.08,40.92
188.92,191.92,5.51,1.66,7.63,6.36,1.76,4.39,8.93,25,40.92,3.08
191.18,184.6,7.83,1.8,3.15,5.51,1.66,7.63,8.93,25,6.63,44.37
184.6,191.18,5.51,1.66,7.63,7.83,1.8,3.15,8.93,25,44.37,6.63
189.85,183.89,7.67,1.91,3.15,5.51,1.66,7.63,8.93,25,5.6,22.4
183.89,189.85,5.51,1.66,7.63,7.67,1.91,3.15,8.93,25,22.4,5.6
193.6,187.1,6.37,1.7,3.15,4.99,1.53,4.77,8.93,25,0,35
187.1,193.6,4.99,1.53,4.77,6.37,1.7,3.15,8.93,25,35,0
195.3,240.4,8.59,2.74,3.24,5.7,3.05,4.91,8.93,25,8.2,32.8
240.4,195.3,5.7,3.05,4.91,8.59,2.74,3.24,8.93,25,32.8,8.2
188.6,164.3,6.37,1.7,3.15,8.7,2.04,5.83,8.93,25,50,0
164.3,188.6,8.7,2.04,5.83,6.37,1.7,3.15,8.93,25,0,50
188.5,164.2,6.37,1.7,3.15,9.22,2.05,5.82,8.93,25,46,0
164.2,188.5,9.22,2.05,5.82,6.37,1.7,3.15,8.93,25,0,46
188.5,164.3,6.37,1.7,3.15,10.43,2.03,7.68,8.93,25,44,0
164.3,188.5,10.43,2.03,7.68,6.37,1.7,3.15,8.93,25,0,44
188.5,164.4,6.37,1.7,3.15,8.9,2.53,6.18,8.93,25,46,0
164.4,188.5,8.9,2.53,6.18,6.37,1.7,3.15,8.93,25,0,46
188.7,164.3,6.37,1.7,3.15,9.97,2.05,7.17,8.93,25,50,0
164.3,188.7,9.97,2.05,7.17,6.37,1.7,3.15,8.93,25,0,50
201,190.2,4.07,2.77,3.19,5.51,1.66,7.63,8.93,25,0.26,12.74
190.2,201,5.51,1.66,7.63,4.07,2.77,3.19,8.93,25,12.74,0.26
188.5,164.2,6.37,1.7,3.15,9.32,2.06,5.85,8.93,25,50,0
164.2,188.5,9.32,2.06,5.85,6.37,1.7,3.15,8.93,25,0,50
191.4,185.4,6.37,1.7,3.15,5.63,1.51,6.59,8.93,25,4.59,22.41
185.4,191.4,5.63,1.51,6.59,6.37,1.7,3.15,8.93,25,22.41,4.59
178.8,178.8,8.08,1.7,4.07,8.08,1.7,4.07,8.93,25,38,38
182.5,182.5,5.8,1.7,3.2,5.8,1.7,3.2,8.93,25,21,21
192.4,192.4,7.83,1.8,3.15,7.83,1.8,3.15,8.93,25,32,32
197,197,6.36,1.76,4.39,6.36,1.76,4.39,8.93,25,28,28
